,Import_ChemicalEnergy,Convert_ChemicalEnergyToElectricalEnergy,Export_HeatEnergy,Protect_ElectricalEnergy,Import_BinarySignal,Actuate_ElectricalEnergy,Protect_ElectricalEnergy,Invert_ElectricalEnergy,Export_HeatEnergy,Protect_ElectricalEnergy,Branch_ElectricalEnergy,Convert_ElectricalEnergyToMechanicalEnergy,Export_HeatEnergy,Import_Material,Transport_Material,Export_Material,Convert_ElectricalEnergyToMechanicalEnergy,Export_HeatEnergy,Import_Material,Transport_Material,Export_Material,Convert_ElectricalEnergyToOpticalEnergy,Export_HeatEnergy,Export_OpticalEnergy
Import_ChemicalEnergy,,ChemicalEnergy,,,,,,,,,,,,,,,,,,,,,,
Convert_ChemicalEnergyToElectricalEnergy,,,Heat,Electrical,,,,,,,,,,,,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,Electrical,,,,,,,,,,,,,,,,,,
Import_BinarySignal,,,,,,Signal,,,,,,,,,,,,,,,,,,
Actuate_ElectricalEnergy,,,,,,,Electrical,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,,,Electrical,,,,,,,,,,,,,,,,
Invert_ElectricalEnergy,,,,,,,,,Heat,Electrical,,,,,,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,,,,,,Electrical,,,,,,,,,,,,,
Branch_ElectricalEnergy,,,,,,,,,,,,Electrical,,,,,Electrical,,,,,Electrical,,
Convert_ElectricalEnergyToMechanicalEnergy,,,,,,,,,,,,,Heat,,MechanicalEnergy,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Import_Material,,,,,,,,,,,,,,,Material,,,,,,,,,
Transport_Material,,,,,,,,,,,,,,,,Material,,,,,,,,
Export_Material,,,,,,,,,,,,,,,,,,,,,,,,
Convert_ElectricalEnergyToMechanicalEnergy,,,,,,,,,,,,,,,,,,Heat,,MechanicalEnergy,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Import_Material,,,,,,,,,,,,,,,,,,,,Material,,,,
Transport_Material,,,,,,,,,,,,,,,,,,,,,Material,,,
Export_Material,,,,,,,,,,,,,,,,,,,,,,,,
Convert_ElectricalEnergyToOpticalEnergy,,,,,,,,,,,,,,,,,,,,,,,Heat,OpticalEnergy
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Export_OpticalEnergy,,,,,,,,,,,,,,,,,,,,,,,,